"filename", "language", "XML", "C#", "LaTeX", "comment", "blank", "total"
"/home/isaac/Desktop/Cera/Cera.csproj", "XML", 8, 0, 0, 0, 3, 11
"/home/isaac/Desktop/Cera/Compiler/Analyzer/Analyzer.Analyze.cs", "C#", 0, 376, 0, 1, 83, 460
"/home/isaac/Desktop/Cera/Compiler/Analyzer/Analyzer.Intrinsic.cs", "C#", 0, 141, 0, 23, 32, 196
"/home/isaac/Desktop/Cera/Compiler/Analyzer/Analyzer.Main.cs", "C#", 0, 77, 0, 2, 26, 105
"/home/isaac/Desktop/Cera/Compiler/Analyzer/Analyzer.Typing.cs", "C#", 0, 185, 0, 2, 27, 214
"/home/isaac/Desktop/Cera/Compiler/Analyzer/Environment.cs", "C#", 0, 19, 0, 0, 7, 26
"/home/isaac/Desktop/Cera/Compiler/Analyzer/IntrinsicId.cs", "C#", 0, 25, 0, 3, 3, 31
"/home/isaac/Desktop/Cera/Compiler/Analyzer/Symbol.cs", "C#", 0, 14, 0, 7, 8, 29
"/home/isaac/Desktop/Cera/Compiler/Backend/BinaryExporter.cs", "C#", 0, 51, 0, 2, 15, 68
"/home/isaac/Desktop/Cera/Compiler/Backend/CeraValue.cs", "C#", 0, 18, 0, 0, 3, 21
"/home/isaac/Desktop/Cera/Compiler/Backend/Chunk.cs", "C#", 0, 55, 0, 2, 10, 67
"/home/isaac/Desktop/Cera/Compiler/Backend/Emitter.Emit.cs", "C#", 0, 576, 0, 10, 112, 698
"/home/isaac/Desktop/Cera/Compiler/Backend/Emitter.Main.cs", "C#", 0, 110, 0, 2, 32, 144
"/home/isaac/Desktop/Cera/Compiler/Backend/Module.cs", "C#", 0, 16, 0, 0, 4, 20
"/home/isaac/Desktop/Cera/Compiler/Backend/OpCode.cs", "C#", 0, 62, 0, 9, 10, 81
"/home/isaac/Desktop/Cera/Compiler/Compiler.cs", "C#", 0, 91, 0, 4, 31, 126
"/home/isaac/Desktop/Cera/Compiler/Lexer/ImportResolver.cs", "C#", 0, 56, 0, 0, 17, 73
"/home/isaac/Desktop/Cera/Compiler/Lexer/Lexer.cs", "C#", 0, 225, 0, 9, 54, 288
"/home/isaac/Desktop/Cera/Compiler/Lexer/Token.cs", "C#", 0, 52, 0, 6, 12, 70
"/home/isaac/Desktop/Cera/Compiler/Logging/Diagnostics.cs", "C#", 0, 376, 0, 36, 112, 524
"/home/isaac/Desktop/Cera/Compiler/Logging/Exception.cs", "C#", 0, 36, 0, 1, 11, 48
"/home/isaac/Desktop/Cera/Compiler/Parser/Parser.Declarations.cs", "C#", 0, 415, 0, 5, 120, 540
"/home/isaac/Desktop/Cera/Compiler/Parser/Parser.Main.cs", "C#", 0, 54, 0, 0, 14, 68
"/home/isaac/Desktop/Cera/Compiler/Parser/Parser.Pratt.cs", "C#", 0, 87, 0, 16, 23, 126
"/home/isaac/Desktop/Cera/Compiler/Parser/ParserNodes.cs", "C#", 0, 46, 0, 6, 45, 97
"/home/isaac/Desktop/Cera/Documentation/cera.tex", "LaTeX", 0, 0, 617, 85, 134, 836
"Total", "-", 8, 3163, 617, 231, 948, 4967
